???s??,???,???,?a?},GPS?n??,GPS?g??,??_????,?a?T_????,?a?T_????1
1,????,?t?s,1_?t?s?m????|???????,25.031347,121.358119,15.64,16.53,16.94
4,???,????,4_????????c?????40???????,24.907259,121.142996,12.86,27.09,9.1
5,???,????,5_????????c?k???35???????,24.907398,121.142902,14.35,14.57,20.92
7,???_,????,7_????????c?B???s????_,24.907205,121.143045,12.8,9.02,12.77
9,?_??,????,9_????????c???????_??,24.907106,121.142867,15.69,16.08,18.04
10,???,????,10_????????c??????????,24.907129,121.142809,10.66,10.34,8.85
11,?_??,????,11_?????^???x??_??,24.90405,121.153887,7.5,12.52,8.27
13,?X?,?_??,13_?_???_???X?,24.810223,121.352166,15.3,18.62,15.94
16,?X?,?j??,16_?j???????X?,24.878686,121.287762,11.12,12.71,13.91
18,???,?j??,18_?j????M????,24.895105,121.274599,12.25,16.21,14.29
22,?_??,?j??,22_?j?????c??_??(??),24.904067,121.265198,6.39,10.88,12.41
23,?_??,?j??,23_?j?????c??_??(?k),24.904322,121.265325,8.46,14.13,11.89
25,?X?,?j??,25_?j??T???????X?,24.883103,121.287445,12.55,16.32,16.16
26,?X?,?j??,26_?j????]??X?,24.842768,121.277798,16.95,16.64,16.01
27,?_??,?j??,27_?j????y?[????_??,24.871907,121.280771,11.15,22.41,20.66
28,?_??,?j??,28_?j????M?c??_??(?k),24.901728,121.275871,8.07,12.5,12.27
29,?X?,?j??,29_?j???w?c??X?,24.858368,121.296332,13.37,21.05,14.6
30,?_??,????,30_?????P??_??,24.911906,121.206784,10.97,18.38,16.25
31,?_??,????,31_????F???_??,24.910213,121.231528,12.58,23.64,12.61
32,?_??,????,32_????F???_??,24.910213,121.231528,11.57,15,10.86
34,?_??,????,34_?????L??_??,24.901422,121.220543,9.42,19.8,12.82
38,???????V,????,38_?????????????V,24.891986,121.196472,13.87,24.14,19.52
39,???,????,39_??????????,24.908542,121.194703,15.15,24.23,9.01
40,???,?s??,40_?s??????X?V,24.821271,121.217741,11.09,18.43,19.12
42,????,?_??,42_?_???????????,24.799622,121.307359,14.98,20.1,18.93
43,???,?_??,43_???O?s?????f?Q???B?D,24.814031,121.349776,15.36,null,null
44,?X?,?K?w,44_?K?w?T????X?,24.929351,121.284371,13.62,9.54,8.47
45,?X?,?K?w,45_?K?w?T????X?,24.92944,121.284394,13.49,12.76,12.58
46,?X?,?K?w,46_?K?w?T????X?,24.929543,121.284411,11.23,9.45,10.52
47,?X?,?K?w,47_?K?w?T????X?,24.929645,121.284424,12.37,10.28,12.12
48,?X?,?K?w,48_?K?w?T????X?,24.929779,121.284442,13.19,13.64,8.94
49,?X?,?K?w,49_?K?w?T????X?,24.929891,121.284477,15.46,14.97,11.7
51,?X?,???,51_????????X?,25.075862,121.316267,12.22,25.9,15.96
53,????,????,53_??????p????,24.906536,121.144673,12.39,16.62,11.79
54,???,????,54_??????p???,24.906286,121.143885,12.85,19.31,20.43
55,?_??,?s??,55_?s???p??_??,24.863579,121.213856,12.28,27.18,26.19
56,?X?,?t?s,56_?t?s??p?X?V??,24.99424,121.339555,8.34,11.9,9.47
57,???,?t?s,57_?t?s??p????,24.993911,121.338935,15.49,20.49,16.7
58,???,?t?s,58_?t?s??p????,24.993892,121.338992,16.43,17.46,15.89
59,?E?|,?t?s,59_?t?s????x?E?|???,24.983628,121.366358,7.57,6.85,8.56
61,?x?W?v??,?_??,61_?_?????????v??,24.813967,121.351121,18.22,11.2,12.86
62,?x?W?v??,?_??,62_?_?????????v??,24.813998,121.351011,17.46,10.75,14.76
63,?x?W?v??,?_??,63_?_?????????v??,24.814018,121.350893,16.16,13.17,17.1
64,?????Q,?_??,64_?_????????????Q,24.813934,121.351368,14.89,16.31,15.81
65,????,?j??,65_?j??j?M?c?????,24.832352,121.276127,15.42,null,null
66,?_??,?K?w,66_?K?w?????_??,24.948435,121.301179,11.68,19.76,41.91
70,?X?,?s??,70_?s??j????X?,24.824587,121.244329,8.57,13.61,11.64
71,?_??,?s??,71_?s???????_??,24.835323,121.241989,10.95,26.91,29.29
73,????,????,73_????????????,24.9001,121.154745,18.41,13.49,13.66
77,?_??,?s??,77_?s??j????_??,24.859648,121.210411,8.58,16.57,14.72
78,???,????,78_?????B??????,24.884947,121.149171,13.93,30.68,27.01
79,?x?W?v??,?s??,79_?s?????p??v??,24.830075,121.194415,12.79,10.68,10.41
80,?_??,???c,80_???c??????_??,24.954736,121.238349,12.15,17.98,24.93
Jannull60,???,?_??,60null1_?_???s??????,24.813544,121.350839,19.89,16.77,18.64
Febnull60,???,?_??,60null2_?_???C?~????,24.813127,121.35078,18.51,15.99,20.99
A1,??Q,???,A1_a_?A?u???Q,24.992939,121.319508,6.14,17.74,16.95
A2,?l??,???,A2_b_??q???l??,24.993078,121.307675,6.85,5.49,4.19
A3,?l??,???,A3_c_?q?????l??,24.993016,121.307561,8.81,8.44,9.18
B,?_??,?j??,B_?j??Q??c,25.058452,121.201569,8.48,13.72,9.03
C,?_??,???c,C_?M??_???c??R??_??,24.954708,121.261109,13.27,39.87,26.96
D,?_??,?[??,D_a_?[????u??_??,25.037159,121.082077,null,null,null
